Category,period,sales,freight_value,total_sales,quantity,volume,baskets
MISSING,2016-09-01,65.89,30.03,95.92,2,3.55,2
MISSING,2016-12-01,1702.64,213.09,1915.73,13,54.65,11
MISSING,2017-01-01,8564.2,1032.03,9596.23,57,162.84,51
MISSING,2017-02-01,7184.07,1101.68,8285.75,64,,58
MISSING,2017-03-01,8953.07,1530.18,10483.25,73,,65
MISSING,2017-04-01,11061.93,1746.34,12808.27,96,218.469,86
MISSING,2017-05-01,5567.88,984.56,6552.44,64,,56
MISSING,2017-06-01,3244.56,930.63,4175.19,62,,56
MISSING,2017-07-01,5243.4,1281.46,6524.86,77,,66
MISSING,2017-08-01,5904.14,1309.44,7213.58,74,210.4,62
MISSING,2017-09-01,18800.48,1904.42,20704.9,73,212.7,63
MISSING,2017-10-01,13870,2113.54,15983.54,120,204.618,113
MISSING,2017-11-01,16470.9,2002.86,18473.76,148,123.625,139
MISSING,2017-12-01,22366.46,3128.56,25495.02,207,179.143,183
MISSING,2018-01-01,13011.73,2046.02,15057.75,122,134.984,112
MISSING,2018-02-01,17378.11,2648.63,20026.74,135,187.885,127
MISSING,2018-03-01,8240.66,1375.75,9616.41,76,115.5,74
MISSING,2018-04-01,5094.94,980.83,6075.77,45,91.928,40
MISSING,2018-05-01,2387.13,418.57,2805.7,23,30.413,22
MISSING,2018-06-01,5241.04,1156.29,6397.33,57,90.7,50
MISSING,2018-07-01,4696.53,678.23,5374.76,39,65.162,37
agro industry and commerce,2016-12-01,65.97,41.79,107.76,3,0.375,2
agro industry and commerce,2017-01-01,224.84,106.26,331.1,7,3.4,7
agro industry and commerce,2017-02-01,81.99,28.7,110.69,2,0.325,2
agro industry and commerce,2017-04-01,1579.94,183.8,1763.74,4,23,4
agro industry and commerce,2017-05-01,1390,32.05,1422.05,1,4,1
agro industry and commerce,2017-06-01,1180,19.47,1199.47,1,2.15,1
agro industry and commerce,2017-07-01,88,136.6,224.6,4,0.932,1
agro industry and commerce,2017-08-01,1993.99,125.7,2119.69,4,18,3
agro industry and commerce,2017-09-01,3350.28,208.15,3558.43,5,33.233,5
agro industry and commerce,2017-10-01,13932.49,677.83,14610.32,19,89.75,13
agro industry and commerce,2017-11-01,5291.7,372.34,5664.04,11,46.555,9
agro industry and commerce,2017-12-01,5853.44,443.07,6296.51,18,51.8,15
agro industry and commerce,2018-01-01,7404.8,654.83,8059.63,27,82.1,21
agro industry and commerce,2018-02-01,6019,548.09,6567.09,28,74.623,25
agro industry and commerce,2018-03-01,4500.7,282.96,4783.66,12,59.292,12
agro industry and commerce,2018-04-01,3279.75,153.47,3433.22,8,16.933,8
agro industry and commerce,2018-05-01,3515.8,327.25,3843.05,10,47.15,10
agro industry and commerce,2018-06-01,7756.69,978.59,8735.28,30,114.872,29
agro industry and commerce,2018-07-01,5021.09,522.65,5543.74,18,100.034,14
air conditioning,2016-09-01,1707.09,197.82,1904.91,10,53.188,5
air conditioning,2016-12-01,663.7,74.66,738.36,4,14.539,3
air conditioning,2017-01-01,3095.3,344.41,3439.71,12,77.6,12
air conditioning,2017-02-01,4043.91,271.12,4315.03,16,53.363,15
air conditioning,2017-03-01,2642.13,306.97,2949.1,17,32.256,15
air conditioning,2017-04-01,1016.77,169.92,1186.69,8,14.25,7
air conditioning,2017-05-01,2084.48,204.04,2288.52,11,39.7,9
air conditioning,2017-06-01,1396.1,97.03,1493.13,5,15.955,5
air conditioning,2017-07-01,4271.73,291.76,4563.49,15,57.755,12
air conditioning,2017-08-01,1731.05,169.28,1900.33,8,31.525,8
air conditioning,2017-09-01,2562.42,307.48,2869.9,12,43.642,9
air conditioning,2017-10-01,4076.62,436.94,4513.56,19,89.545,16
air conditioning,2017-11-01,668.8,53.54,722.34,3,9.475,3
air conditioning,2017-12-01,4674.74,502.78,5177.52,29,88.458,22
air conditioning,2018-01-01,2626.89,265.78,2892.67,12,50.317,11
air conditioning,2018-02-01,2667.58,541.29,3208.87,25,83.933,24
air conditioning,2018-03-01,3261.79,659.33,3921.12,23,96.903,22
air conditioning,2018-04-01,2051.2,399.53,2450.73,15,92.367,14
air conditioning,2018-05-01,3567.9,525.04,4092.94,15,99.602,9
air conditioning,2018-06-01,2657.86,479.59,3137.45,17,86.058,15
air conditioning,2018-07-01,3556.9,450.92,4007.82,21,92.62,17
art,2017-02-01,223.25,97.59,320.84,5,10.685,5
art,2017-03-01,119.9,27.27,147.17,1,5.9,1
art,2017-04-01,6967.65,398.3,7365.95,8,30.9,8
art,2017-05-01,421.7,210.09,631.79,10,16.3,5
art,2017-06-01,386.75,38.15,424.9,3,1.64,3
art,2017-07-01,244.7,72.36,317.06,4,1.09,4
art,2017-08-01,388.54,47.31,435.85,3,2.15,3
art,2017-09-01,349.05,51.4,400.45,3,15.99,3
art,2017-10-01,75,17.78,92.78,1,1.947,1
art,2017-11-01,115.25,48.14,163.39,3,2.15,3
art,2017-12-01,2540.77,323.44,2864.21,19,31.975,19
art,2018-01-01,1251.71,309.12,1560.83,13,18,12
art,2018-02-01,461.5,120.16,581.66,7,10.6,7
