seller_id,period,sales,freight_value,total_sales,quantity,volume,baskets
0015a82c2db000af6aaaf3ae2ecb0532,2017-08-01,895,21.02,916.02,1,11.8,1
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-01,1790,42.04,1832.04,2,23.6,2
001cca7ae9ae17fb1caed9dfb1094831,2017-01-01,1098.9,196.5,1295.4,11,97.625,5
001cca7ae9ae17fb1caed9dfb1094831,2017-02-01,1676.7,447.3,2124,17,152.525,11
001cca7ae9ae17fb1caed9dfb1094831,2017-03-01,1847.2,396.02,2243.22,16,140.575,14
001cca7ae9ae17fb1caed9dfb1094831,2017-04-01,2774.99,1008.67,3783.66,27,243.5,24
001cca7ae9ae17fb1caed9dfb1094831,2017-05-01,2302.49,804.6,3107.09,23,204.575,22
001cca7ae9ae17fb1caed9dfb1094831,2017-06-01,2483.95,1052.08,3536.03,25,232.375,21
001cca7ae9ae17fb1caed9dfb1094831,2017-07-01,1244,465.54,1709.54,12,110.425,11
001cca7ae9ae17fb1caed9dfb1094831,2017-08-01,1714,641.35,2355.35,16,141.15,12
001cca7ae9ae17fb1caed9dfb1094831,2017-09-01,2626,999.65,3625.65,25,220,22
001cca7ae9ae17fb1caed9dfb1094831,2017-10-01,2540,924.6,3464.6,25,222,20
001cca7ae9ae17fb1caed9dfb1094831,2017-11-01,1330,492.01,1822.01,13,118.225,12
001cca7ae9ae17fb1caed9dfb1094831,2017-12-01,914,324.08,1238.08,8,71.625,8
001cca7ae9ae17fb1caed9dfb1094831,2018-01-01,331,119.34,450.34,3,26.325,3
001cca7ae9ae17fb1caed9dfb1094831,2018-02-01,1185.9,526.26,1712.16,10,89.525,7
001cca7ae9ae17fb1caed9dfb1094831,2018-03-01,640,325.01,965.01,5,45.65,5
001cca7ae9ae17fb1caed9dfb1094831,2018-05-01,241,94.99,335.99,2,20,2
001cca7ae9ae17fb1caed9dfb1094831,2018-06-01,129.9,36.14,166.04,1,8.65,1
001e6ad469a905060d959994f1b41e4f,2018-07-01,250,17.94,267.94,1,0.75,1
002100f778ceb8431b7a1020ff7ab48f,2017-08-01,47.6,50.65,98.25,4,1.2,3
002100f778ceb8431b7a1020ff7ab48f,2017-09-01,191.9,175.4,367.3,11,3.3,9
002100f778ceb8431b7a1020ff7ab48f,2017-10-01,276.8,168.98,445.78,12,4.2,11
002100f778ceb8431b7a1020ff7ab48f,2017-11-01,283.4,213.6,497,16,4.7,16
002100f778ceb8431b7a1020ff7ab48f,2017-12-01,77.7,52.21,129.91,3,0.9,3
