seller_city,period,sales,freight_value,total_sales,quantity,volume,baskets
04482255,2017-07-01,399.9,16.55,416.45,1,0.75,1
abadia de goias,2017-06-01,142.47,43.41,185.88,1,2.7,1
afonso claudio,2016-09-01,18.9,22.28,41.18,1,1.3,1
afonso claudio,2016-12-01,37.8,34.38,72.18,2,2.6,1
afonso claudio,2017-01-01,99,17.43,116.43,1,1.95,1
afonso claudio,2017-02-01,39.29,15.56,54.85,1,1.098,1
afonso claudio,2017-03-01,99,29.62,128.62,1,1.95,1
aguas claras df,2017-01-01,35,17.78,52.78,1,0.613,1
alambari,2017-12-01,29.9,12.69,42.59,1,0.95,1
alambari,2018-02-01,59.8,35.43,95.23,2,1.9,2
alambari,2018-04-01,29.9,19.32,49.22,1,0.95,1
alambari,2018-06-01,19,13.71,32.71,1,0.515,1
alfenas,2017-08-01,78,15.3,93.3,1,0.4,1
alfenas,2017-10-01,310.5,81.36,391.86,4,26.25,4
alfenas,2017-11-01,677.18,157.1,834.28,7,25.7,7
alfenas,2017-12-01,1505.11,286.5,1791.61,11,79.75,10
alfenas,2018-01-01,1365.16,501.12,1866.28,21,128.15,19
alfenas,2018-02-01,76.96,51.59,128.55,3,11.05,3
alfenas,2018-03-01,267.42,71.17,338.59,3,14.55,2
alfenas,2018-04-01,301.31,109.83,411.14,6,34.8,6
alfenas,2018-05-01,398.19,178.04,576.23,4,22.25,4
alfenas,2018-06-01,1302.8,152.19,1454.99,3,41.85,3
alfenas,2018-07-01,327.95,182.93,510.88,5,15.55,5
almirante tamandare,2017-04-01,40,28.2,68.2,2,1,1
alvares machado,2017-02-01,42,14.52,56.52,1,0.7,1
alvares machado,2017-03-01,79.7,40,119.7,3,1.1,3
alvares machado,2017-04-01,19.9,11.85,31.75,1,0.3,1
alvares machado,2017-07-01,6.99,11.85,18.84,1,0.1,1
alvorada,2018-06-01,149,37.29,186.29,2,0.85,2
alvorada,2018-07-01,315,91.44,406.44,5,0.95,5
americana,2016-12-01,44.5,10.96,55.46,1,0.3,1
americana,2017-04-01,1504.46,169.9,1674.36,3,23.05,3
americana,2017-05-01,44.5,7.78,52.28,1,0.3,1
americana,2017-06-01,229.67,24.16,253.83,2,2.45,2
americana,2017-07-01,169.99,17.44,187.43,1,1.35,1
americana,2017-08-01,882.49,114.89,997.38,7,11.025,3
americana,2017-09-01,1083.78,134.44,1218.22,4,13.35,4
americana,2017-10-01,1511.98,163.2,1675.18,7,20.358,7
americana,2017-11-01,350.6,69.45,420.05,4,9.85,4
americana,2017-12-01,162.8,29.59,192.39,2,3.1,2
americana,2018-01-01,207.79,41.01,248.8,3,2.9,3
americana,2018-02-01,708.09,254.88,962.97,8,26.7,7
americana,2018-03-01,3105.08,343.22,3448.3,13,61.382,12
americana,2018-04-01,871.68,253.68,1125.36,18,9,14
americana,2018-05-01,804.77,230.76,1035.53,13,10.1,13
americana,2018-06-01,1954.46,328.48,2282.94,14,19.825,14
americana,2018-07-01,803.18,96.05,899.23,8,11.225,8
amparo,2017-02-01,129.9,11.52,141.42,1,0.4,1
amparo,2017-06-01,342.1,82.89,424.99,3,27.2,3
amparo,2017-07-01,94.6,16.42,111.02,1,1.45,1
amparo,2017-08-01,636,54.32,690.32,1,10.35,1
amparo,2017-09-01,870.1,173.01,1043.11,5,63.7,5
amparo,2017-10-01,799.6,260.81,1060.41,6,59.65,5
amparo,2017-11-01,631.9,205.29,837.19,4,48.9,4
amparo,2017-12-01,1132.5,256.29,1388.79,8,60,8
amparo,2018-01-01,2124.1,840.08,2964.18,18,133.9,17
amparo,2018-02-01,756.6,197.53,954.13,7,30.25,7
amparo,2018-03-01,785.7,250.97,1036.67,10,37.2,10
amparo,2018-04-01,2299.39,589.75,2889.14,12,108.2,12
amparo,2018-05-01,455.3,189.48,644.78,8,19.6,5
amparo,2018-06-01,1045.88,309.25,1355.13,7,25.25,7
amparo,2018-07-01,546.4,170.11,716.51,6,34.35,6
ampere,2017-07-01,54.9,17.95,72.85,1,0.85,1
ampere,2017-09-01,59.9,16.18,76.08,1,1.5,1
ampere,2017-12-01,54.9,16.14,71.04,1,0.85,1
ampere,2018-01-01,359.4,110,469.4,6,6.85,6
ampere,2018-02-01,514.1,190.17,704.27,9,8.8,6
ampere,2018-03-01,88,23.2,111.2,1,1.15,1
ampere,2018-04-01,88,17.35,105.35,1,1.2,1
ampere,2018-05-01,88,23.42,111.42,1,1.15,1
ampere,2018-06-01,154.9,43.43,198.33,2,1.85,2
ampere,2018-07-01,89.9,23.43,113.33,1,1.15,1
anapolis,2017-08-01,185,38.84,223.84,1,1.95,1
anapolis,2017-09-01,409.99,54.09,464.08,2,15.15,2
